Date,Open,High,Low,Close,Volume,Adj Close
2005-03-22,376.249,378.899,376.249,377.241,76926.0,377.241
2005-03-23,376.584,378.899,372.606,372.606,107697.0,372.606
2005-03-24,372.606,377.58,372.27,372.27,30164.7,372.27
2005-03-25,372.938,379.558,372.27,372.938,60030.7,372.938
2005-03-28,369.619,374.588,369.282,374.588,29262.2,374.588
2005-03-29,374.588,374.588,364.646,364.978,47065.4,364.978
2005-03-30,362.993,362.993,354.702,358.015,38006.4,358.015
2005-03-31,351.394,351.394,349.728,351.394,190043.0,351.394
2005-04-01,351.718,351.718,346.748,347.738,84166.9,347.738
2005-04-04,349.396,349.396,345.086,346.748,60030.7,346.748
2005-04-05,347.41,353.04,347.41,352.713,81149.9,352.713
2005-04-06,353.04,360.671,353.04,355.688,58220.3,355.688
2005-04-07,358.015,362.993,358.015,362.322,62444.2,362.322
2005-04-08,362.993,363.644,359.01,363.644,83563.4,363.644
2005-04-11,360.332,361.331,352.048,354.039,44649.0,354.039
2005-04-12,353.376,356.025,351.394,355.688,67875.0,355.688
2005-04-13,354.702,361.003,351.394,354.039,68782.6,354.039
2005-04-14,348.07,351.394,346.748,350.063,38911.5,350.063
2005-04-15,348.07,348.07,341.106,342.436,40118.4,342.436
2005-04-18,331.497,331.497,319.23,323.538,70592.7,323.538
2005-04-19,325.53,334.485,325.53,331.497,51281.3,331.497
2005-04-20,344.422,344.422,338.124,342.104,46456.8,342.104
2005-04-21,329.835,338.124,329.835,338.124,38308.0,338.124
2005-04-22,348.07,351.718,345.086,351.394,53697.4,351.394
2005-04-25,348.07,354.702,348.07,354.702,40422.6,354.702
2005-04-26,360.332,361.003,355.688,357.356,70892.0,357.356
2005-04-27,357.687,357.687,343.092,356.025,50677.8,356.025
2005-04-28,349.396,355.03,349.396,353.711,26846.1,353.711
2005-05-02,353.711,360.671,348.07,351.718,22320.6,351.718
2005-05-06,355.688,359.01,348.07,355.362,22320.6,355.362
2005-05-09,355.362,360.332,355.362,358.681,23829.2,358.681
2005-05-10,355.362,361.331,355.362,361.331,29262.2,361.331
2005-05-11,360.332,360.332,355.362,358.015,38617.7,358.015
2005-05-12,358.015,358.015,348.734,354.37,31374.2,354.37
2005-05-13,354.702,357.356,351.394,356.692,26846.1,356.692
2005-05-16,350.063,353.376,346.748,351.394,25639.4,351.394
2005-05-17,351.394,351.718,333.15,337.797,40118.4,337.797
2005-05-18,337.466,340.782,334.154,340.115,31374.2,340.115
2005-05-19,339.783,341.441,337.466,341.441,21116.5,341.441
2005-05-20,334.817,338.124,328.18,329.502,98945.0,329.502
2005-05-23,337.13,338.788,332.164,338.456,42531.9,338.456
2005-05-24,339.12,340.115,337.13,337.13,22026.8,337.13
2005-05-25,336.468,337.466,331.828,333.15,24130.9,333.15
2005-05-26,339.783,339.783,329.835,336.136,50677.8,336.136
2005-05-27,338.788,338.788,332.492,333.819,9953.53,333.819
2005-05-30,331.828,338.788,331.497,336.136,50979.7,336.136
2005-05-31,331.497,334.817,328.844,333.482,107390.0,333.482
2005-06-01,333.819,335.476,331.828,335.476,72699.5,335.476
2005-06-02,335.8,335.8,333.482,334.817,32882.7,334.817
2005-06-03,331.828,333.15,331.497,333.15,25639.4,333.15
2005-06-06,333.15,333.819,332.492,333.15,20214.0,333.15
2005-06-07,334.817,342.76,334.817,342.76,120664.0,342.76
2005-06-08,343.751,343.751,337.466,340.448,25639.4,340.448
2005-06-09,340.448,343.751,337.797,338.456,35899.7,338.456
2005-06-10,341.106,341.106,334.817,340.115,36500.5,340.115
2005-06-13,338.124,342.436,338.124,342.436,12668.8,342.436
2005-06-14,343.092,343.092,339.783,339.783,13878.2,339.783
2005-06-15,340.448,341.77,339.783,341.77,17490.8,341.77
2005-06-16,341.77,343.092,341.106,342.76,19303.6,342.76
2005-06-17,344.422,347.078,344.086,346.412,43437.0,346.412
2005-06-20,346.412,349.728,346.412,348.07,22926.7,348.07
2005-06-21,348.07,348.07,347.078,347.41,9953.53,347.41
2005-06-22,347.41,349.072,345.756,348.398,44342.3,348.398
2005-06-23,347.41,348.734,347.41,348.734,34693.0,348.734
2005-06-24,348.07,348.734,347.078,348.07,35899.7,348.07
2005-06-27,350.722,350.722,334.817,347.078,45551.5,347.078
2005-06-28,347.738,349.728,345.756,349.396,18104.7,349.396
2005-06-29,349.728,349.728,346.748,349.072,27447.0,349.072
2005-06-30,347.738,349.072,347.078,348.07,10559.5,348.07
2005-07-01,347.738,348.398,346.412,347.41,24437.8,347.41
2005-07-04,349.396,349.396,343.092,344.758,43738.8,344.758
2005-07-05,347.41,347.738,344.758,345.756,22625.0,345.756
2005-07-06,346.412,347.738,340.782,347.078,57011.1,347.078
2005-07-07,347.078,347.078,343.092,344.758,28055.6,344.758
2005-07-08,345.086,345.086,342.76,342.76,40727.0,342.76
2005-07-11,343.092,345.086,343.092,343.751,45247.3,343.751
2005-07-12,345.756,346.412,343.428,344.086,16284.0,344.086
2005-07-13,344.758,344.758,343.092,344.758,26245.2,344.758
2005-07-14,343.428,345.086,343.428,343.751,38006.4,343.751
2005-07-15,344.086,347.078,344.086,344.758,28055.6,344.758
2005-07-19,344.758,350.063,344.758,348.07,59427.2,348.07
2005-07-20,349.728,350.063,345.756,348.07,79334.3,348.07
2005-07-21,350.396,350.396,344.758,344.758,73001.3,344.758
2005-07-22,362.993,370.616,358.015,358.681,606943.0,358.681
2005-07-25,362.993,364.646,357.024,357.024,338764.0,357.024
2005-07-26,361.331,361.331,351.394,353.04,134236.0,353.04
2005-07-27,354.702,362.993,354.702,361.666,236505.0,361.666
2005-07-28,364.646,364.646,361.331,364.312,129110.0,364.312
2005-07-29,363.313,366.301,361.003,362.657,188238.0,362.657
2005-08-01,362.993,363.644,358.015,360.671,77222.4,360.671
2005-08-02,361.331,362.322,357.024,359.345,84166.9,359.345
2005-08-03,359.01,359.345,354.702,357.687,64855.2,357.687
2005-08-04,357.356,357.356,351.394,355.03,30164.7,355.03
2005-08-05,354.37,354.37,348.734,353.04,69685.1,353.04
2005-08-08,348.398,351.394,346.748,350.722,41020.8,350.722
2005-08-09,349.728,357.687,349.396,354.702,55205.9,354.702
2005-08-10,355.03,358.681,352.048,354.702,123078.0,354.702
2005-08-11,354.702,357.687,354.039,354.702,67875.0,354.702
2005-08-12,355.688,358.015,355.688,356.356,47965.3,356.356
2005-08-15,360.01,360.01,356.025,356.356,53999.3,356.356
2005-08-16,360.01,366.301,358.015,365.642,192454.0,365.642
2005-08-17,364.646,364.646,361.003,361.331,77222.4,361.331
2005-08-18,362.993,367.3,361.666,365.642,126394.0,365.642
2005-08-19,364.978,369.282,364.646,368.946,147511.0,368.946
2005-08-22,364.646,370.28,364.312,368.623,143893.0,368.623
2005-08-23,367.96,370.616,367.3,369.619,152041.0,369.619
2005-08-24,367.96,369.946,367.3,368.946,139971.0,368.946
2005-08-25,367.96,369.619,366.964,369.282,98945.0,369.282
2005-08-26,369.619,369.619,361.003,361.666,78135.5,361.666
2005-08-29,361.998,363.313,359.674,360.332,50378.8,360.332
2005-08-30,360.01,362.657,360.01,361.998,26846.1,361.998
2005-08-31,362.322,365.31,362.322,362.993,95324.6,362.993
2005-09-01,364.646,366.964,364.312,366.301,126701.0,366.301
2005-09-02,365.31,365.31,361.331,363.313,88687.2,363.313
2005-09-05,361.331,363.644,361.331,363.644,33779.9,363.644
2005-09-06,363.98,367.62,361.331,362.993,98643.2,362.993
2005-09-07,362.993,364.646,361.998,362.322,75412.3,362.322
2005-09-08,362.657,362.657,359.674,360.01,33181.7,360.01
2005-09-09,359.674,361.998,359.674,361.331,76926.0,361.331
2005-09-12,363.313,365.642,361.998,362.993,37405.6,362.993
2005-09-13,363.644,365.642,361.331,364.646,37405.6,364.646
2005-09-14,368.294,377.58,367.62,374.588,217805.0,374.588
2005-09-15,377.911,381.225,373.6,376.912,130314.0,376.912
2005-09-16,377.911,381.225,377.911,381.225,87480.3,381.225
2005-09-20,391.155,394.14,387.853,392.822,168027.0,392.822
2005-09-21,411.05,414.04,404.425,407.414,358372.0,407.414
2005-09-22,408.076,414.04,407.739,412.38,275110.0,412.38
2005-09-26,414.362,447.184,414.04,427.64,297438.0,427.64
2005-09-27,423.984,427.306,421.996,422.33,127302.0,422.33
2005-09-28,417.348,420.668,415.696,417.682,177678.0,417.682
2005-09-29,416.03,417.682,406.082,410.062,86276.2,410.062
2005-09-30,412.05,412.05,406.416,410.391,135144.0,410.391
2005-10-03,407.414,407.414,404.425,407.414,78135.5,407.414
2005-10-04,406.749,412.708,406.082,410.391,80244.6,410.391
2005-10-05,412.708,412.708,408.41,409.065,52482.7,409.065
2005-10-06,408.41,409.728,406.082,406.082,86583.0,406.082
2005-10-07,404.754,411.05,404.425,407.739,100149.0,407.739
2005-10-11,409.398,421.662,409.065,421.662,107998.0,421.662
2005-10-12,416.36,420.668,409.065,409.398,153248.0,409.398
2005-10-13,408.076,410.724,406.082,407.739,91699.0,407.739
2005-10-14,407.739,407.739,404.425,406.082,57619.7,406.082
2005-10-17,407.414,407.414,402.767,402.767,77526.8,402.767
2005-10-18,401.442,403.766,398.128,399.127,129414.0,399.127
2005-10-19,398.128,399.456,395.812,397.138,116440.0,397.138
2005-10-20,398.794,402.767,397.468,397.795,106487.0,397.795
2005-10-21,398.128,407.739,398.128,407.739,74512.4,407.739
2005-10-24,407.739,411.05,404.754,407.08,41020.8,407.08
2005-10-25,407.08,412.05,405.416,409.728,77526.8,409.728
2005-10-26,410.724,413.702,409.398,411.05,53999.3,411.05
2005-10-27,421.003,427.64,419.012,419.676,229566.0,419.676
2005-10-28,419.676,419.676,416.681,416.681,86276.2,416.681
2005-10-31,417.018,422.663,417.018,421.003,102263.0,421.003
2005-11-01,424.322,424.98,421.996,422.663,46152.4,422.663
2005-11-02,424.322,424.322,421.003,421.662,112521.0,421.662
2005-11-04,424.322,424.322,421.662,423.658,118253.0,423.658
2005-11-07,425.646,429.615,424.65,425.972,143289.0,425.972
2005-11-08,427.64,430.95,425.972,430.618,137859.0,430.618
2005-11-09,428.621,432.6,427.968,429.956,151134.0,429.956
2005-11-10,431.608,433.274,430.95,433.274,82052.3,433.274
2005-11-11,433.598,437.244,432.933,435.582,91402.3,435.582
2005-11-14,439.569,456.468,437.244,449.18,180396.0,449.18
2005-11-15,451.839,459.453,451.172,457.138,195476.0,457.138
2005-11-16,459.78,472.046,459.453,471.714,339067.0,471.714
2005-11-17,475.033,492.602,475.033,488.634,298644.0,488.634
2005-11-18,487.295,487.96,477.354,487.295,243740.0,487.295
2005-11-21,487.295,492.938,476.028,487.618,420820.0,487.618
2005-11-22,496.251,515.48,494.595,510.17,477231.0,510.17
2005-11-24,520.445,527.41,519.125,525.415,302261.0,525.415
2005-11-25,525.415,526.075,515.145,519.125,240726.0,519.125
2005-11-28,520.115,520.78,514.15,519.125,141180.0,519.125
2005-11-29,523.755,531.72,521.12,531.05,178284.0,531.05
2005-11-30,546.64,612.93,544.64,599.68,592765.0,599.68
2005-12-01,597.695,597.695,565.21,595.365,387634.0,595.365
2005-12-02,595.365,623.22,595.365,614.595,477832.0,614.595
2005-12-05,616.57,633.165,614.925,631.505,274516.0,631.505
2005-12-06,623.555,629.51,614.925,615.91,232284.0,615.91
2005-12-07,614.925,614.925,590.065,596.025,334542.0,596.025
2005-12-08,596.025,596.36,570.165,577.795,209053.0,577.795
2005-12-09,563.545,595.03,563.545,593.38,237706.0,593.38
2005-12-12,609.95,622.545,604.985,622.545,206033.0,622.545
2005-12-13,626.53,626.53,614.26,614.26,239522.0,614.26
2005-12-14,613.26,618.235,590.065,592.385,199401.0,592.385
2005-12-15,592.385,612.615,586.735,601.66,206335.0,601.66
2005-12-16,591.725,596.69,590.065,596.36,65458.6,596.36
2005-12-19,592.71,593.05,581.775,585.76,123681.0,585.76
2005-12-20,589.73,596.69,580.115,580.78,250984.0,580.78
2005-12-21,610.615,681.22,606.635,681.22,2491429.0,681.22
2005-12-22,694.48,712.715,631.835,659.01,2143609.0,659.01
2005-12-26,658.015,658.015,633.165,641.765,520064.0,641.765
2005-12-27,639.79,648.74,630.84,634.485,270590.0,634.485
2005-12-28,624.54,632.485,617.245,629.84,284762.0,629.84
2005-12-29,628.19,629.84,618.56,622.215,189746.0,622.215
2005-12-30,626.195,629.84,619.895,626.53,117946.0,626.53
2006-01-04,620.23,625.525,619.895,620.565,113421.0,620.565
2006-01-05,624.87,641.435,623.555,639.45,278131.0,639.45
2006-01-06,639.45,642.1,636.14,638.79,208743.0,638.79
2006-01-10,642.445,642.445,638.79,639.79,242841.0,639.79
2006-01-11,643.11,650.39,641.435,648.08,297736.0,648.08
2006-01-12,647.42,653.04,633.165,643.11,241332.0,643.11
2006-01-13,643.11,643.43,635.155,641.435,140569.0,641.435
2006-01-16,639.79,639.79,630.84,635.81,138465.0,635.81
2006-01-17,629.84,632.16,595.7,596.69,193970.0,596.69
2006-01-18,597.025,603.32,533.7,557.245,368330.0,557.245
2006-01-19,530.4,591.725,530.4,583.435,208142.0,583.435
2006-01-20,603.32,612.27,593.38,600.33,160484.0,600.33
2006-01-23,592.05,593.38,580.115,580.455,138158.0,580.455
2006-01-24,629.84,629.84,601.995,612.615,285976.0,612.615
2006-01-25,613.26,626.195,613.26,619.56,239220.0,619.56
2006-01-26,617.585,638.125,617.585,626.195,235600.0,626.195
2006-01-27,630.175,646.095,627.195,645.755,230169.0,645.755
2006-01-30,646.42,646.42,633.165,636.14,147214.0,636.14
2006-01-31,633.165,640.455,633.165,634.825,73001.3,634.825
2006-02-01,636.475,636.475,623.555,625.525,81446.3,625.525
2006-02-02,629.84,631.505,623.555,625.525,98643.2,625.525
2006-02-03,625.525,626.195,616.57,624.87,62142.6,624.87
2006-02-06,624.87,631.505,619.235,630.84,75412.3,630.84
2006-02-07,636.475,636.475,623.22,633.165,90198.3,633.165
2006-02-08,633.49,646.095,631.505,633.165,164708.0,633.165
2006-02-09,633.82,642.1,633.165,633.165,95925.5,633.165
2006-02-10,633.165,635.81,623.22,625.525,110706.0,625.525
2006-02-13,629.84,629.84,610.615,611.61,143893.0,611.61
2006-02-14,601.66,606.635,563.545,606.635,152338.0,606.635
2006-02-15,616.57,619.895,602.33,606.97,62142.6,606.97
2006-02-16,604.985,609.95,596.69,599.68,92307.6,599.68
2006-02-17,596.69,607.305,583.435,593.71,75716.5,593.71
2006-02-20,594.37,596.69,580.115,588.095,133034.0,588.095
2006-02-21,570.83,586.735,570.83,586.735,76012.9,586.735
2006-02-22,586.735,596.36,580.455,580.78,44342.3,580.78
2006-02-23,582.78,600.005,582.78,590.395,41020.8,590.395
2006-02-24,596.36,602.985,591.725,602.985,59125.6,602.985
2006-02-27,613.26,616.57,594.695,594.695,68171.4,594.695
2006-02-28,596.69,601.0,586.735,591.06,79937.8,591.06
2006-03-01,591.06,596.69,585.42,586.425,95022.7,586.425
2006-03-02,586.735,591.39,580.455,586.735,113421.0,586.735
2006-03-03,583.435,583.435,570.165,575.475,67575.7,575.475
2006-03-06,575.475,581.775,571.825,576.145,38006.4,576.145
2006-03-07,575.475,576.815,567.195,569.18,63045.1,569.18
2006-03-08,567.195,581.775,566.86,578.465,123681.0,578.465
2006-03-09,578.465,604.325,578.465,604.325,59125.6,604.325
2006-03-10,586.09,602.985,586.09,596.69,79334.3,596.69
2006-03-13,597.36,606.97,597.36,606.97,46456.8,606.97
2006-03-14,606.97,607.305,600.005,602.985,31972.4,602.985
2006-03-15,603.655,606.635,591.725,594.045,70288.5,594.045
2006-03-16,607.96,622.88,600.005,601.995,161085.0,601.995
2006-03-17,609.95,611.275,603.32,609.28,78730.9,609.28
2006-03-20,615.58,616.57,610.615,614.26,58514.4,614.26
2006-03-22,613.26,613.59,608.625,611.275,101663.0,611.275
2006-03-23,613.26,617.585,613.26,615.91,51887.3,615.91
