日付,始値,高値,安値,終値,出来高
2024-01-04,10000,10050,9980,10010,9000000
2024-01-05,10010,10040,9950,9960,9200000
2024-01-09,9960,9990,9900,9910,9100000
2024-01-10,9910,9940,9850,9860,9300000
2024-01-11,9860,9890,9800,9810,9000000
2024-01-12,9810,9840,9750,9760,9400000
2024-01-15,9760,9790,9700,9710,8900000
2024-01-16,9710,9740,9650,9660,9100000
2024-01-17,9660,9690,9600,9610,8800000
2024-01-18,9610,9640,9550,9560,9200000
2024-01-19,9560,9590,9500,9510,9000000
2024-01-22,9510,9540,9450,9460,9300000
2024-01-23,9460,9490,9400,9410,8900000
2024-01-24,9410,9440,9350,9360,9100000
2024-01-25,9360,9390,9300,9310,8800000
2024-01-26,9310,9340,9250,9260,9200000
2024-01-29,9260,9290,9200,9210,9000000
2024-01-30,9210,9240,9150,9160,9300000
2024-01-31,9160,9190,9100,9110,8900000
2024-02-01,9110,9140,9050,9060,9100000
2024-02-02,9060,9090,9000,9010,8800000
2024-02-05,9010,9040,8950,8960,9200000
2024-02-06,8960,8990,8900,8910,9000000
2024-02-07,8910,8940,8850,8860,9300000
2024-02-08,8860,8890,8800,8810,8900000
2024-02-09,8810,8840,8750,8760,9100000
2024-02-13,8760,8790,8700,8710,8800000
2024-02-14,8710,8740,8650,8660,9200000
2024-02-15,8660,8690,8600,8610,9000000
2024-02-16,8610,8640,8550,8560,9300000
2024-02-19,8560,8590,8500,8510,8900000
2024-02-20,8510,8540,8450,8460,9100000
2024-02-21,8460,8490,8400,8410,8800000
2024-02-22,8410,8440,8350,8360,9200000
2024-02-26,8360,8390,8300,8310,9000000
2024-02-27,8310,8340,8250,8260,9300000
2024-02-28,8260,8290,8200,8210,8900000
2024-02-29,8210,8240,8150,8160,9100000
2024-03-01,8160,8190,8100,8110,8800000
2024-03-04,8110,8140,8050,8060,9200000
2024-03-05,8060,8090,8000,8010,9000000
2024-03-06,8010,8040,7950,7960,9300000
2024-03-07,7960,7990,7900,7910,8900000
2024-03-08,7910,7940,7850,7860,9100000
2024-03-11,7860,7890,7800,7810,8800000
2024-03-12,7810,7840,7750,7760,9200000
2024-03-13,7760,7790,7700,7710,9000000
2024-03-14,7710,7740,7650,7660,9300000
2024-03-15,7660,7690,7600,7610,8900000
2024-03-18,7610,7640,7550,7560,9100000
2024-03-19,7560,7590,7500,7510,8800000
2024-03-21,7510,7540,7450,7460,9200000
2024-03-22,7460,7490,7400,7410,9000000
2024-03-25,7410,7440,7350,7360,9300000
2024-03-26,7360,7390,7300,7310,8900000
2024-03-27,7310,7340,7250,7260,9100000
2024-03-28,7260,7290,7200,7210,8800000
2024-03-29,7210,7240,7150,7160,9200000
2024-04-01,7160,7190,7100,7110,9000000
2024-04-02,7110,7140,7050,7060,9300000
2024-04-03,7060,7090,7000,7010,8900000
2024-04-04,7010,7040,6950,6960,9100000
2024-04-05,6960,6990,6900,6910,8800000
2024-04-08,6910,6940,6850,6860,9200000
2024-04-09,6860,6890,6800,6810,9000000
2024-04-10,6810,6840,6750,6760,9300000
2024-04-11,6760,6790,6700,6710,8900000
2024-04-12,6710,6740,6650,6660,9100000
2024-04-15,6660,6690,6600,6610,8800000
2024-04-16,6610,6640,6550,6560,9200000
2024-04-17,6560,6590,6500,6510,9000000
2024-04-18,6510,6540,6450,6460,9300000
2024-04-19,6460,6490,6400,6410,8900000
2024-04-22,6410,6440,6350,6360,9100000
2024-04-23,6360,6390,6300,6310,8800000
2024-04-24,6310,6340,6250,6260,9200000
2024-04-25,6260,6290,6200,6210,9000000
2024-04-26,6210,6240,6150,6160,9300000
2024-04-30,6160,6190,6100,6110,8900000
2024-05-01,6110,6140,6050,6060,9100000
2024-05-02,6060,6090,6000,6010,8800000
2024-05-07,6010,6040,5950,5960,9200000
2024-05-08,5960,5990,5900,5910,9000000
2024-05-09,5910,5940,5850,5860,9300000
2024-05-10,5860,5890,5800,5810,8900000
2024-05-13,5810,5840,5750,5760,9100000
2024-05-14,5760,5790,5700,5710,8800000
2024-05-15,5710,5740,5650,5660,9200000
2024-05-16,5660,5690,5600,5610,9000000
2024-05-17,5610,5640,5550,5560,9300000
2024-05-20,5560,5590,5500,5510,8900000
2024-05-21,5510,5540,5450,5460,9100000
2024-05-22,5460,5490,5400,5410,8800000
2024-05-23,5410,5440,5350,5360,9200000
2024-05-24,5360,5390,5300,5310,9000000
2024-05-27,5310,5340,5250,5260,9300000
2024-05-28,5260,5290,5200,5210,8900000
2024-05-29,5210,5240,5150,5160,9100000
2024-05-30,5160,5190,5100,5110,8800000
2024-05-31,5110,5140,5050,5060,9200000
