日付,始値,高値,安値,終値,出来高
2014-01-06,5810,5880,5810,5880,8769100
2014-01-07,5890,5920,5870,5890,7221100
2014-01-08,5900,5930,5880,5920,6543200
2014-01-09,5920,5950,5900,5930,7123400
2014-01-10,5930,5960,5920,5940,6234500
2014-01-14,5940,5990,5930,5980,7345600
2014-01-15,5980,6010,5970,5990,6456700
2014-01-16,5990,6030,5980,6010,7567800
2014-01-17,6010,6050,6000,6020,6678900
2014-01-20,6020,6070,6010,6050,7789000
2014-01-21,6050,6080,6040,6060,6890100
2014-01-22,6060,6090,6050,6070,7901200
2014-01-23,6070,6100,6060,6080,6012300
2014-01-24,6080,6110,6070,6090,7123400
2014-01-27,6090,6120,6080,6100,6234500
2014-01-28,6100,6130,6090,6110,7345600
2014-01-29,6110,6140,6100,6120,6456700
2014-01-30,6120,6150,6110,6130,7567800
2014-01-31,6130,6160,6120,6140,6678900
2014-02-03,6140,6170,6130,6150,7789000
2014-02-04,6150,6180,6140,6160,6890100
2014-02-05,6160,6190,6150,6170,7901200
2014-02-06,6170,6200,6160,6180,6012300
2014-02-07,6180,6210,6170,6190,7123400
2014-02-10,6190,6220,6180,6200,6234500
2014-02-12,6200,6230,6190,6210,7345600
2014-02-13,6210,6240,6200,6220,6456700
2014-02-14,6220,6250,6210,6230,7567800
2014-02-17,6230,6260,6220,6240,6678900
2014-02-18,6240,6270,6230,6250,7789000
2014-02-19,6250,6280,6240,6260,6890100
2014-02-20,6260,6290,6250,6270,7901200
2014-02-21,6270,6300,6260,6280,6012300
2014-02-24,6280,6310,6270,6290,7123400
2014-02-25,6290,6320,6280,6300,6234500
2014-02-26,6300,6330,6290,6310,7345600
2014-02-27,6310,6340,6300,6320,6456700
2014-02-28,6320,6350,6310,6330,7567800
2014-03-03,6330,6360,6320,6340,6678900
2014-03-04,6340,6370,6330,6350,7789000
2014-03-05,6350,6380,6340,6360,6890100
2014-03-06,6360,6390,6350,6370,7901200
2014-03-07,6370,6400,6360,6380,6012300
2014-03-10,6380,6410,6370,6390,7123400
2014-03-11,6390,6420,6380,6400,6234500
2014-03-12,6400,6430,6390,6410,7345600
2014-03-13,6410,6440,6400,6420,6456700
2014-03-14,6420,6450,6410,6430,7567800
2014-03-17,6430,6460,6420,6440,6678900
2014-03-18,6440,6470,6430,6450,7789000
2014-03-19,6450,6480,6440,6460,6890100
2014-03-20,6460,6490,6450,6470,7901200
2014-03-24,6470,6500,6460,6480,6012300
2014-03-25,6480,6510,6470,6490,7123400
2014-03-26,6490,6520,6480,6500,6234500
2014-03-27,6500,6530,6490,6510,7345600
2014-03-28,6510,6540,6500,6520,6456700
2014-03-31,6520,6550,6510,6530,7567800
2014-04-01,6530,6560,6520,6540,6678900
2014-04-02,6540,6570,6530,6550,7789000
2014-04-03,6550,6580,6540,6560,6890100
2014-04-04,6560,6590,6550,6570,7901200
2014-04-07,6570,6600,6560,6580,6012300
2014-04-08,6580,6610,6570,6590,7123400
2014-04-09,6590,6620,6580,6600,6234500
2014-04-10,6600,6630,6590,6610,7345600
2014-04-11,6610,6640,6600,6620,6456700
2014-04-14,6620,6650,6610,6630,7567800
2014-04-15,6630,6660,6620,6640,6678900
2014-04-16,6640,6670,6630,6650,7789000
2014-04-17,6650,6680,6640,6660,6890100
2014-04-18,6660,6690,6650,6670,7901200
2014-04-21,6670,6700,6660,6680,6012300
2014-04-22,6680,6710,6670,6690,7123400
2014-04-23,6690,6720,6680,6700,6234500
2014-04-24,6700,6730,6690,6710,7345600
2014-04-25,6710,6740,6700,6720,6456700
2014-04-28,6720,6750,6710,6730,7567800
2014-04-30,6730,6760,6720,6740,6678900
2014-05-01,6740,6770,6730,6750,7789000
2014-05-02,6750,6780,6740,6760,6890100
2014-05-07,6760,6790,6750,6770,7901200
2014-05-08,6770,6800,6760,6780,6012300
2014-05-09,6780,6810,6770,6790,7123400
2014-05-12,6790,6820,6780,6800,6234500
2014-05-13,6800,6830,6790,6810,7345600
2014-05-14,6810,6840,6800,6820,6456700
2014-05-15,6820,6850,6810,6830,7567800
2014-05-16,6830,6860,6820,6840,6678900
2014-05-19,6840,6870,6830,6850,7789000
2014-05-20,6850,6880,6840,6860,6890100
2014-05-21,6860,6890,6850,6870,7901200
2014-05-22,6870,6900,6860,6880,6012300
2014-05-23,6880,6910,6870,6890,7123400
2014-05-26,6890,6920,6880,6900,6234500
2014-05-27,6900,6930,6890,6910,7345600
2014-05-28,6910,6940,6900,6920,6456700
2014-05-29,6920,6950,6910,6930,7567800
2014-05-30,6930,6960,6920,6940,6678900
