日付,始値,高値,安値,終値,出来高
2024-01-04,5000,5050,4980,5040,8500000
2024-01-05,5040,5100,5030,5090,8200000
2024-01-09,5090,5150,5080,5140,7900000
2024-01-10,5140,5200,5130,5190,8100000
2024-01-11,5190,5250,5180,5240,7800000
2024-01-12,5240,5300,5230,5290,8300000
2024-01-15,5290,5350,5280,5340,7600000
2024-01-16,5340,5400,5330,5390,8000000
2024-01-17,5390,5450,5380,5440,7700000
2024-01-18,5440,5500,5430,5490,8200000
2024-01-19,5490,5550,5480,5540,7900000
2024-01-22,5540,5600,5530,5590,8100000
2024-01-23,5590,5650,5580,5640,7800000
2024-01-24,5640,5700,5630,5690,8300000
2024-01-25,5690,5750,5680,5740,7600000
2024-01-26,5740,5800,5730,5790,8000000
2024-01-29,5790,5850,5780,5840,7700000
2024-01-30,5840,5900,5830,5890,8200000
2024-01-31,5890,5950,5880,5940,7900000
2024-02-01,5940,6000,5930,5990,8100000
2024-02-02,5990,6050,5980,6040,7800000
2024-02-05,6040,6100,6030,6090,8300000
2024-02-06,6090,6150,6080,6140,7600000
2024-02-07,6140,6200,6130,6190,8000000
2024-02-08,6190,6250,6180,6240,7700000
2024-02-09,6240,6300,6230,6290,8200000
2024-02-13,6290,6350,6280,6340,7900000
2024-02-14,6340,6400,6330,6390,8100000
2024-02-15,6390,6450,6380,6440,7800000
2024-02-16,6440,6500,6430,6490,8300000
2024-02-19,6490,6550,6480,6540,7600000
2024-02-20,6540,6600,6530,6590,8000000
2024-02-21,6590,6650,6580,6640,7700000
2024-02-22,6640,6700,6630,6690,8200000
2024-02-26,6690,6750,6680,6740,7900000
2024-02-27,6740,6800,6730,6790,8100000
2024-02-28,6790,6850,6780,6840,7800000
2024-02-29,6840,6900,6830,6890,8300000
2024-03-01,6890,6950,6880,6940,7600000
2024-03-04,6940,7000,6930,6990,8000000
2024-03-05,6990,7050,6980,7040,7700000
2024-03-06,7040,7100,7030,7090,8200000
2024-03-07,7090,7150,7080,7140,7900000
2024-03-08,7140,7200,7130,7190,8100000
2024-03-11,7190,7250,7180,7240,7800000
2024-03-12,7240,7300,7230,7290,8300000
2024-03-13,7290,7350,7280,7340,7600000
2024-03-14,7340,7400,7330,7390,8000000
2024-03-15,7390,7450,7380,7440,7700000
2024-03-18,7440,7500,7430,7490,8200000
2024-03-19,7490,7550,7480,7540,7900000
2024-03-21,7540,7600,7530,7590,8100000
2024-03-22,7590,7650,7580,7640,7800000
2024-03-25,7640,7700,7630,7690,8300000
2024-03-26,7690,7750,7680,7740,7600000
2024-03-27,7740,7800,7730,7790,8000000
2024-03-28,7790,7850,7780,7840,7700000
2024-03-29,7840,7900,7830,7890,8200000
2024-04-01,7890,7950,7880,7940,7900000
2024-04-02,7940,8000,7930,7990,8100000
2024-04-03,7990,8050,7980,8040,7800000
2024-04-04,8040,8100,8030,8090,8300000
2024-04-05,8090,8150,8080,8140,7600000
2024-04-08,8140,8200,8130,8190,8000000
2024-04-09,8190,8250,8180,8240,7700000
2024-04-10,8240,8300,8230,8290,8200000
2024-04-11,8290,8350,8280,8340,7900000
2024-04-12,8340,8400,8330,8390,8100000
2024-04-15,8390,8450,8380,8440,7800000
2024-04-16,8440,8500,8430,8490,8300000
2024-04-17,8490,8550,8480,8540,7600000
2024-04-18,8540,8600,8530,8590,8000000
2024-04-19,8590,8650,8580,8640,7700000
2024-04-22,8640,8700,8630,8690,8200000
2024-04-23,8690,8750,8680,8740,7900000
2024-04-24,8740,8800,8730,8790,8100000
2024-04-25,8790,8850,8780,8840,7800000
2024-04-26,8840,8900,8830,8890,8300000
2024-04-30,8890,8950,8880,8940,7600000
2024-05-01,8940,9000,8930,8990,8000000
2024-05-02,8990,9050,8980,9040,7700000
2024-05-07,9040,9100,9030,9090,8200000
2024-05-08,9090,9150,9080,9140,7900000
2024-05-09,9140,9200,9130,9190,8100000
2024-05-10,9190,9250,9180,9240,7800000
2024-05-13,9240,9300,9230,9290,8300000
2024-05-14,9290,9350,9280,9340,7600000
2024-05-15,9340,9400,9330,9390,8000000
2024-05-16,9390,9450,9380,9440,7700000
2024-05-17,9440,9500,9430,9490,8200000
2024-05-20,9490,9550,9480,9540,7900000
2024-05-21,9540,9600,9530,9590,8100000
2024-05-22,9590,9650,9580,9640,7800000
2024-05-23,9640,9700,9630,9690,8300000
2024-05-24,9690,9750,9680,9740,7600000
2024-05-27,9740,9800,9730,9790,8000000
2024-05-28,9790,9850,9780,9840,7700000
2024-05-29,9840,9900,9830,9890,8200000
2024-05-30,9890,9950,9880,9940,7900000
2024-05-31,9940,10000,9930,9990,8100000
