日付,始値,高値,安値,終値,出来高
2024-01-04,6000,6200,5900,6100,12000000
2024-01-05,6100,6050,5800,5900,13500000
2024-01-09,5900,6300,5850,6250,14000000
2024-01-10,6250,6400,6100,6150,12800000
2024-01-11,6150,6200,5850,5950,13200000
2024-01-12,5950,6350,5900,6300,14500000
2024-01-15,6300,6450,6150,6200,12500000
2024-01-16,6200,6250,5900,6050,13800000
2024-01-17,6050,6400,6000,6350,14200000
2024-01-18,6350,6500,6200,6250,12900000
2024-01-19,6250,6300,5950,6100,13300000
2024-01-22,6100,6450,6050,6400,14600000
2024-01-23,6400,6550,6250,6300,12600000
2024-01-24,6300,6350,6000,6150,13900000
2024-01-25,6150,6500,6100,6450,14300000
2024-01-26,6450,6600,6300,6350,13000000
2024-01-29,6350,6400,6050,6200,13400000
2024-01-30,6200,6550,6150,6500,14700000
2024-01-31,6500,6650,6350,6400,12700000
2024-02-01,6400,6450,6100,6250,14000000
2024-02-02,6250,6600,6200,6550,14400000
2024-02-05,6550,6700,6400,6450,13100000
2024-02-06,6450,6500,6150,6300,13500000
2024-02-07,6300,6650,6250,6600,14800000
2024-02-08,6600,6750,6450,6500,12800000
2024-02-09,6500,6550,6200,6350,14100000
2024-02-13,6350,6700,6300,6650,14500000
2024-02-14,6650,6800,6500,6550,13200000
2024-02-15,6550,6600,6250,6400,13600000
2024-02-16,6400,6750,6350,6700,14900000
2024-02-19,6700,6850,6550,6600,12900000
2024-02-20,6600,6650,6300,6450,14200000
2024-02-21,6450,6800,6400,6750,14600000
2024-02-22,6750,6900,6600,6650,13300000
2024-02-26,6650,6700,6350,6500,13700000
2024-02-27,6500,6850,6450,6800,15000000
2024-02-28,6800,6950,6650,6700,13000000
2024-02-29,6700,6750,6400,6550,14300000
2024-03-01,6550,6900,6500,6850,14700000
2024-03-04,6850,7000,6700,6750,13400000
2024-03-05,6750,6800,6450,6600,13800000
2024-03-06,6600,6950,6550,6900,15100000
2024-03-07,6900,7050,6750,6800,13100000
2024-03-08,6800,6850,6500,6650,14400000
2024-03-11,6650,7000,6600,6950,14800000
2024-03-12,6950,7100,6800,6850,13500000
2024-03-13,6850,6900,6550,6700,13900000
2024-03-14,6700,7050,6650,7000,15200000
2024-03-15,7000,7150,6850,6900,13200000
2024-03-18,6900,6950,6600,6750,14500000
2024-03-19,6750,7100,6700,7050,14900000
2024-03-21,7050,7200,6900,6950,13600000
2024-03-22,6950,7000,6650,6800,14000000
2024-03-25,6800,7150,6750,7100,15300000
2024-03-26,7100,7250,6950,7000,13300000
2024-03-27,7000,7050,6700,6850,14600000
2024-03-28,6850,7200,6800,7150,15000000
2024-03-29,7150,7300,7000,7050,13700000
2024-04-01,7050,7100,6750,6900,14100000
2024-04-02,6900,7250,6850,7200,15400000
2024-04-03,7200,7350,7050,7100,13400000
2024-04-04,7100,7150,6800,6950,14700000
2024-04-05,6950,7300,6900,7250,15100000
2024-04-08,7250,7400,7100,7150,13800000
2024-04-09,7150,7200,6850,7000,14200000
2024-04-10,7000,7350,6950,7300,15500000
2024-04-11,7300,7450,7150,7200,13500000
2024-04-12,7200,7250,6900,7050,14800000
2024-04-15,7050,7400,7000,7350,15200000
2024-04-16,7350,7500,7200,7250,13900000
2024-04-17,7250,7300,6950,7100,14300000
2024-04-18,7100,7450,7050,7400,15600000
2024-04-19,7400,7550,7250,7300,14000000
2024-04-22,7300,7350,7000,7150,14900000
2024-04-23,7150,7500,7100,7450,15300000
2024-04-24,7450,7600,7300,7350,14100000
2024-04-25,7350,7400,7050,7200,14400000
2024-04-26,7200,7550,7150,7500,15700000
2024-04-30,7500,7650,7350,7400,14200000
2024-05-01,7400,7450,7100,7250,15000000
2024-05-02,7250,7600,7200,7550,15400000
2024-05-07,7550,7700,7400,7450,14300000
2024-05-08,7450,7500,7150,7300,14500000
2024-05-09,7300,7650,7250,7600,15800000
2024-05-10,7600,7750,7450,7500,14400000
2024-05-13,7500,7550,7200,7350,15100000
2024-05-14,7350,7700,7300,7650,15500000
2024-05-15,7650,7800,7500,7550,14500000
2024-05-16,7550,7600,7250,7400,14600000
2024-05-17,7400,7750,7350,7700,15900000
2024-05-20,7700,7850,7550,7600,14600000
2024-05-21,7600,7650,7300,7450,15200000
2024-05-22,7450,7800,7400,7750,15600000
2024-05-23,7750,7900,7600,7650,14700000
2024-05-24,7650,7700,7350,7500,14700000
2024-05-27,7500,7850,7450,7800,16000000
2024-05-28,7800,7950,7650,7700,14800000
2024-05-29,7700,7750,7400,7550,15300000
2024-05-30,7550,7900,7500,7850,15700000
2024-05-31,7850,8000,7700,7750,14900000
